日期,开盘价,最高价,最低价,收盘价,成交量,持仓量,动态结算价
2025-01-02,13485.0,13555.0,13455.0,13535.0,140235,648164,13520.0
2025-01-03,13560.0,13600.0,13400.0,13405.0,281386,649378,13485.0
2025-01-06,13400.0,13445.0,13330.0,13345.0,246382,664200,13385.0
2025-01-07,13415.0,13500.0,13370.0,13425.0,271779,653807,13430.0
2025-01-08,13425.0,13475.0,13390.0,13445.0,171237,654229,13430.0
2025-01-09,13420.0,13475.0,13355.0,13470.0,213091,660133,13410.0
2025-01-10,13440.0,13585.0,13440.0,13540.0,270692,658081,13525.0
2025-01-13,13520.0,13550.0,13390.0,13510.0,287716,653536,13475.0
2025-01-14,13510.0,13620.0,13465.0,13600.0,266321,663063,13560.0
2025-01-15,13580.0,13600.0,13505.0,13590.0,201087,664555,13555.0
2025-01-16,13590.0,13645.0,13565.0,13600.0,227323,656132,13605.0
2025-01-17,13575.0,13675.0,13540.0,13660.0,246362,655637,13615.0
2025-01-20,13660.0,13695.0,13615.0,13680.0,193151,657330,13660.0
2025-01-21,13665.0,13680.0,13625.0,13670.0,127968,649136,13660.0
2025-01-22,13645.0,13680.0,13565.0,13610.0,174683,637820,13615.0
2025-01-23,13615.0,13620.0,13450.0,13455.0,266057,630933,13515.0
2025-01-24,13455.0,13610.0,13415.0,13590.0,268020,603737,13510.0
2025-01-27,13595.0,13700.0,13575.0,13690.0,189542,604402,13640.0
2025-02-05,13600.0,13665.0,13585.0,13645.0,122017,612628,13630.0
2025-02-06,13605.0,13665.0,13455.0,13535.0,288755,631557,13545.0
2025-02-07,13505.0,13645.0,13505.0,13635.0,226525,632540,13595.0
2025-02-10,13605.0,13655.0,13600.0,13635.0,156790,641869,13630.0
2025-02-11,13660.0,13800.0,13635.0,13735.0,421293,705125,13730.0
2025-02-12,13760.0,13785.0,13740.0,13770.0,205339,712880,13760.0
2025-02-13,13785.0,13790.0,13650.0,13685.0,237109,689823,13725.0
2025-02-14,13645.0,13770.0,13645.0,13740.0,181635,698745,13720.0
2025-02-17,13725.0,13845.0,13695.0,13820.0,267787,720031,13785.0
2025-02-18,13810.0,13910.0,13805.0,13885.0,265130,734199,13870.0
2025-02-19,13890.0,13920.0,13850.0,13885.0,183173,732253,13885.0
2025-02-20,13870.0,13890.0,13815.0,13890.0,195137,720949,13855.0
2025-02-21,13855.0,13930.0,13850.0,13870.0,193836,717292,13890.0
2025-02-24,13850.0,13895.0,13810.0,13865.0,189390,717700,13850.0
