日期,开盘价,最高价,最低价,收盘价,成交量,持仓量,动态结算价
2025-01-02,777.0,788.0,771.0,782.0,253304,390429,781.0
2025-01-03,782.0,783.0,760.0,764.0,374360,385498,768.5
2025-01-06,766.0,769.5,751.0,751.5,392284,404650,760.5
2025-01-07,760.0,761.0,745.5,750.0,311676,406812,753.0
2025-01-08,753.0,756.5,743.5,747.5,300334,417474,750.5
2025-01-09,746.5,759.0,743.0,754.5,331105,417032,750.5
2025-01-10,751.5,760.5,749.0,753.5,250657,413338,754.0
2025-01-13,760.0,772.5,757.0,768.5,359229,407746,766.0
2025-01-14,768.0,786.0,764.0,783.0,322767,423549,777.0
2025-01-15,783.0,787.5,778.0,782.5,214908,428578,782.0
2025-01-16,784.0,798.0,782.5,797.0,307962,457983,790.0
2025-01-17,797.5,807.0,793.5,803.5,277798,470876,799.5
2025-01-20,803.0,806.5,795.5,800.5,260406,474946,800.0
2025-01-21,802.0,808.0,799.5,804.5,257065,483169,804.0
2025-01-22,804.0,804.0,794.5,800.5,255193,483878,798.0
2025-01-23,800.5,806.5,796.0,801.5,262778,493435,801.0
2025-01-24,803.0,810.0,793.5,806.5,344447,495522,802.0
2025-01-27,806.0,815.0,801.0,810.5,206640,487496,809.0
2025-02-05,815.0,818.0,797.0,801.0,274560,483440,806.0
2025-02-06,802.0,820.0,799.0,817.5,294106,540207,810.0
2025-02-07,818.0,825.0,815.0,817.0,269198,555242,820.0
2025-02-10,820.0,827.0,817.0,826.5,290792,570193,821.0
2025-02-11,827.0,830.5,811.0,812.0,358635,551704,821.0
2025-02-12,812.0,829.0,811.0,828.5,285573,575614,820.5
2025-02-13,828.0,828.0,806.0,808.0,387165,547528,818.5
2025-02-14,811.0,827.0,804.5,810.5,500340,539051,814.0
2025-02-17,808.0,808.5,790.0,806.5,541487,505486,798.0
2025-02-18,806.5,819.0,798.0,818.0,362866,531087,808.5
2025-02-19,817.0,823.5,815.0,820.5,247764,545559,818.5
2025-02-20,820.5,838.5,815.5,837.0,414674,596339,826.0
2025-02-21,836.5,844.0,835.5,838.5,310301,620529,839.0
2025-02-24,832.0,836.5,825.5,832.5,362089,585575,831.0
2025-02-25,832.5,834.0,810.5,813.0,422324,553069,820.0
2025-02-26,813.5,819.0,803.0,812.0,495128,537384,811.5
2025-02-27,812.0,814.5,798.0,805.0,402826,529365,805.5
2025-02-28,805.5,809.5,795.5,799.5,348530,528693,802.0
2025-03-03,796.0,801.5,777.5,779.5,543941,535460,790.0
2025-03-04,782.0,787.0,776.0,781.0,322112,520428,781.5
2025-03-05,783.0,785.5,767.5,771.0,382096,514468,776.5
2025-03-06,771.0,782.5,763.0,773.0,403795,502201,772.5
2025-03-07,775.0,779.0,768.5,774.0,306009,502546,774.5
2025-03-10,775.0,785.0,766.0,769.0,369579,505371,775.0
2025-03-11,771.0,779.0,764.0,774.5,344371,503203,772.0
2025-03-12,777.0,785.0,762.5,769.5,462943,502298,776.5
2025-03-13,773.0,783.0,770.5,780.0,347425,488678,776.0
2025-03-14,781.0,796.0,778.5,794.0,379261,488015,787.5
2025-03-17,793.5,794.0,774.5,778.5,388475,469596,781.5
2025-03-18,779.0,781.5,772.5,777.0,253081,460810,776.5
2025-03-19,778.5,779.0,757.5,760.0,379952,474155,765.5
2025-03-20,761.5,764.0,755.0,762.0,296212,468643,760.0
2025-03-21,765.0,772.0,753.5,757.5,322991,465890,761.0
2025-03-24,760.0,780.5,756.0,779.5,400064,442386,771.0
2025-03-25,779.5,785.5,772.0,776.0,300848,422925,778.5
2025-03-26,776.0,784.5,774.5,780.0,239542,411565,779.0
2025-03-27,782.0,792.0,778.5,789.0,311289,412123,787.0
2025-03-28,791.0,792.0,780.5,785.5,245029,392393,784.5
2025-03-31,789.0,789.0,771.0,773.0,286594,366232,777.5
2025-04-01,775.0,797.0,770.0,792.0,424570,355196,783.0
2025-04-02,748.5,754.0,743.0,747.5,156723,403314,748.5
2025-04-03,747.5,751.0,737.0,743.5,191407,418444,744.5
2025-04-07,716.0,728.0,710.0,720.0,394523,406183,718.0
2025-04-08,723.5,729.5,688.0,693.0,572080,494215,708.0
2025-04-09,693.0,698.0,670.5,689.0,643493,488784,686.0
2025-04-10,685.0,715.5,684.5,707.0,597321,481877,703.0
2025-04-11,709.0,715.0,692.5,708.0,594551,484945,704.0
2025-04-14,707.0,711.5,701.5,706.0,332731,511897,706.0
2025-04-15,707.5,714.0,704.0,713.0,349047,535095,709.0
2025-04-16,713.0,714.0,702.0,708.0,333335,544650,706.5
2025-04-17,710.0,718.0,704.5,707.0,477404,566876,711.5
2025-04-18,707.0,714.5,698.0,699.0,485871,594424,706.5
2025-04-21,702.5,718.0,698.5,715.5,437808,610192,709.5
2025-04-22,717.5,718.0,706.5,711.0,337797,610938,712.5
2025-04-23,711.0,731.0,708.5,727.5,556274,626600,722.5
2025-04-24,728.5,730.0,715.5,720.5,375098,620774,722.5
2025-04-25,724.0,724.5,706.0,709.0,555363,640693,714.0
2025-04-28,708.0,714.0,700.5,710.5,579405,641289,707.0
2025-04-29,711.0,714.0,705.5,709.0,330094,638601,709.0
2025-04-30,709.0,710.0,699.5,703.5,334066,627472,704.5
2025-05-06,704.0,712.0,696.0,704.5,387888,641518,705.5
2025-05-07,707.5,726.0,703.0,708.0,605404,660279,713.0
2025-05-08,709.0,710.0,691.0,693.5,545189,699233,700.0
2025-05-09,694.0,701.0,692.0,696.0,357377,700139,696.5
2025-05-12,697.0,719.0,693.0,718.5,577719,704468,707.0
2025-05-13,722.0,727.0,712.0,714.5,434573,714025,719.5
2025-05-14,715.5,737.5,713.5,737.0,617096,744359,728.0
2025-05-15,735.5,738.5,731.5,736.5,347019,757976,735.0
2025-05-16,735.5,735.5,724.5,728.0,388045,743495,729.0
2025-05-19,725.5,729.5,720.0,722.5,316116,737677,723.0
2025-05-20,722.5,727.0,719.0,725.0,323225,734150,723.0
2025-05-21,725.5,730.5,722.5,728.5,274451,747750,726.0
2025-05-22,727.0,732.0,723.5,727.0,278968,756347,727.0
2025-05-23,725.0,728.0,717.0,718.0,349790,750172,722.5
2025-05-26,714.0,719.5,704.0,706.5,456783,731684,711.0
2025-05-27,706.0,706.5,693.5,698.5,455965,721004,699.5
2025-05-28,699.0,702.5,695.0,698.5,287342,721508,698.0
2025-05-29,699.5,712.5,698.0,707.0,504680,716254,705.0
2025-05-30,708.5,709.5,697.5,702.0,415302,714423,703.5
2025-06-03,698.0,699.0,690.5,695.5,343069,724790,695.0
2025-06-04,697.5,708.0,695.0,704.5,461519,716276,702.0
2025-06-05,704.5,708.5,695.0,701.0,367760,718469,701.5
2025-06-06,704.0,713.5,703.0,707.5,402647,724169,708.0
2025-06-09,707.0,709.0,700.5,703.0,304180,719741,704.5
2025-06-10,705.0,705.0,697.0,698.5,353841,721095,700.0
2025-06-11,700.0,711.0,699.0,707.0,347058,729224,705.5
2025-06-12,706.0,707.5,701.0,704.0,256930,716699,704.0
2025-06-13,705.0,710.5,698.0,703.0,460439,695640,703.0
2025-06-16,700.0,707.5,689.5,704.5,538210,685492,699.5
2025-06-17,702.5,704.0,695.5,699.0,319182,675663,699.0
2025-06-18,698.0,701.5,690.5,695.5,438763,685078,695.0
2025-06-19,696.5,703.0,691.5,698.0,392127,678221,696.5
2025-06-20,698.5,708.0,696.5,703.0,411160,676735,702.5
2025-06-23,703.0,709.5,702.0,706.0,273450,681105,706.0
2025-06-24,705.5,710.0,702.0,703.0,291318,676786,705.5
2025-06-25,701.0,704.5,698.0,702.5,315873,671948,701.0
2025-06-26,702.5,707.5,698.0,705.5,326475,654225,702.5
2025-06-27,707.0,719.5,706.0,716.5,485658,679900,714.0
2025-06-30,718.5,723.5,714.0,715.5,345152,668751,718.0
2025-07-01,715.0,716.0,706.0,708.5,338762,654854,710.5
2025-07-02,708.0,724.5,707.5,722.5,449251,647875,715.5
2025-07-03,724.5,736.5,721.5,733.0,452146,639417,728.0
2025-07-04,731.0,741.0,731.0,732.5,403254,651817,736.0
2025-07-07,732.0,739.0,727.5,731.0,290889,647845,732.0
2025-07-08,731.0,736.0,727.5,733.0,233496,655157,731.5
2025-07-09,731.5,740.5,731.5,736.5,247638,659461,736.5
2025-07-10,736.0,766.0,735.0,763.5,514055,659915,750.5
2025-07-11,762.0,770.0,761.0,764.0,360649,661862,764.5
2025-07-14,765.0,769.5,763.0,766.5,239244,664821,766.0
2025-07-15,766.5,772.0,758.5,767.0,325980,668688,765.0
2025-07-16,767.0,777.5,765.0,773.0,370227,690425,771.5
2025-07-17,773.0,787.5,772.5,785.5,463317,703244,782.0
2025-07-18,788.5,801.0,782.5,785.0,518894,692666,792.5
2025-07-21,786.5,819.0,785.5,809.0,583685,663446,803.0
2025-07-22,809.0,835.5,805.0,823.0,593295,619902,817.0
2025-07-23,826.0,828.5,806.5,812.0,485011,579939,815.5
2025-07-24,815.5,822.5,803.5,811.0,398654,562835,811.5
2025-07-25,815.0,815.5,790.0,802.5,533058,528991,800.0
2025-07-28,802.5,806.5,780.5,786.0,531456,489437,793.0
2025-07-29,786.5,800.0,786.0,798.0,330523,482200,792.5
2025-07-30,798.0,807.5,786.5,789.0,394826,452110,798.0
2025-07-31,792.5,793.0,774.0,779.0,326294,419559,784.5
2025-08-01,780.0,790.5,776.5,783.0,261821,410009,784.5
2025-08-04,787.0,794.5,782.0,790.5,262794,402645,789.0
2025-08-05,792.0,800.0,790.0,798.5,198067,384501,795.0
2025-08-06,799.5,801.5,788.0,794.5,208804,358293,795.0
2025-08-07,795.5,799.0,787.0,793.0,199704,335365,791.5
2025-08-08,775.5,777.0,770.5,773.5,127215,355505,774.0
2025-08-11,775.0,790.0,771.0,789.0,260124,392715,782.5
2025-08-12,790.0,803.0,787.5,801.0,281002,443799,795.0
2025-08-13,801.0,803.5,795.0,795.0,197238,452419,798.5
2025-08-14,792.0,798.5,771.0,775.0,331007,451957,784.5
2025-08-15,778.0,782.5,772.0,776.0,218451,447326,777.0
2025-08-18,777.0,784.0,766.5,772.0,281501,448909,776.0
2025-08-19,773.0,774.0,768.0,771.0,154949,449577,770.5
2025-08-20,772.0,772.5,760.0,769.0,289366,440389,765.0
2025-08-21,770.0,780.0,770.0,772.5,281755,451574,775.5
2025-08-22,771.0,774.5,766.0,770.0,227341,452625,769.5
2025-08-25,772.0,789.0,771.0,787.0,317230,464830,782.0
2025-08-26,787.0,788.0,773.5,776.5,220023,452852,780.5
2025-08-27,776.0,781.5,773.0,775.5,216112,454736,777.0
2025-08-28,776.0,791.0,774.5,790.5,293261,472490,781.5
2025-08-29,790.0,792.0,783.5,787.5,215248,473608,787.0
2025-09-01,787.0,787.0,761.0,766.0,393789,453950,771.0
2025-09-02,768.5,777.5,767.0,771.5,246550,453002,771.5
2025-09-03,773.0,783.5,772.5,777.0,289198,465930,778.5
2025-09-04,777.0,796.5,773.5,791.5,392627,506983,783.5
2025-09-05,789.0,792.0,782.0,789.5,289453,501397,787.0
2025-09-08,791.0,795.5,784.0,792.0,263731,512120,789.0
2025-09-09,792.0,814.0,790.5,805.0,494126,541200,803.0
2025-09-10,803.5,809.0,796.0,805.0,334534,544566,802.0
2025-09-11,804.5,809.0,791.5,795.5,365052,538976,800.0
2025-09-12,797.5,803.5,793.5,799.5,269584,543195,798.5
2025-09-15,799.0,805.5,791.0,796.0,358924,535831,797.0
2025-09-16,800.0,812.0,798.0,803.5,397594,532389,805.5
2025-09-17,804.0,807.0,796.0,804.5,254268,534465,801.0
2025-09-18,805.0,809.0,797.0,800.0,308247,533529,801.0
2025-09-19,802.5,813.0,798.0,807.5,379811,574521,805.5
2025-09-22,811.0,820.0,803.5,808.5,409502,562024,812.5
2025-09-23,808.5,810.5,798.0,802.5,289687,546570,803.5
2025-09-24,804.0,808.0,800.5,803.5,202421,539059,803.5
2025-09-25,805.5,808.0,799.5,805.5,191183,529740,804.0
2025-09-26,804.0,806.0,788.0,790.0,326907,508929,796.5
2025-09-29,790.0,791.0,780.0,784.0,259935,473992,785.5
2025-09-30,785.0,787.0,779.5,780.5,195179,447365,783.0
2025-10-09,782.0,794.0,776.5,790.5,240766,459565,787.0
2025-10-10,795.5,802.0,791.0,795.0,224798,476191,795.5
2025-10-13,800.5,804.5,791.0,804.5,344315,485339,798.5
2025-10-14,806.5,809.5,774.0,782.0,525492,499799,788.0
2025-10-15,784.0,787.5,774.5,776.5,305761,508365,780.5
2025-10-16,780.0,781.0,766.5,773.5,398551,535578,772.5
2025-10-17,774.0,776.5,767.0,771.0,271218,545426,771.5
2025-10-20,771.0,775.5,762.5,767.0,347579,555584,768.5
2025-10-21,768.5,776.5,760.0,769.5,301522,562733,769.0
2025-10-22,772.5,777.5,771.0,774.0,208059,558163,774.0
2025-10-23,777.0,782.0,770.0,777.0,236711,561141,775.5
2025-10-24,777.0,779.0,765.0,771.0,310339,565642,771.5
2025-10-27,770.5,787.0,768.5,786.5,363294,558846,777.5
2025-10-28,785.0,795.0,784.0,792.5,330083,548944,789.0
2025-10-29,793.5,807.0,792.0,804.5,354444,542850,799.5
2025-10-30,804.5,810.5,798.0,802.5,325873,551548,804.5
2025-10-31,800.0,802.0,792.0,800.0,305778,540280,797.0
2025-11-03,801.0,801.5,778.0,782.5,406726,534930,789.0
2025-11-04,783.0,784.0,773.0,775.5,276598,547754,778.0
2025-11-05,775.0,777.0,768.0,776.0,281615,544659,772.5
2025-11-06,777.0,779.5,771.0,777.5,259605,537495,775.0
2025-11-07,777.0,777.5,757.0,760.5,431356,559408,765.5
2025-11-10,762.5,767.0,756.0,765.0,327443,541602,761.5
2025-11-11,765.0,767.0,759.0,763.0,262391,530352,763.5
2025-11-12,763.0,775.0,762.5,774.0,351878,501233,770.5
2025-11-13,771.0,775.0,767.0,772.5,215756,494127,770.5
2025-11-14,774.0,781.0,770.0,772.5,266426,480380,774.5
2025-11-17,769.0,791.0,767.5,788.5,351270,481399,781.0
2025-11-18,786.5,792.0,781.0,792.0,262295,471291,785.5
2025-11-19,791.5,797.0,786.5,791.5,245541,480907,791.0
2025-11-20,791.5,793.5,781.5,788.5,285402,477486,788.0
2025-11-21,788.5,792.0,781.5,785.5,257403,460502,787.0
2025-11-24,785.5,798.0,781.5,790.5,311836,449760,790.0
2025-11-25,791.0,800.0,791.0,794.0,213171,437331,795.5
2025-11-26,795.0,799.5,793.0,797.0,201969,419842,796.0
2025-11-27,799.5,800.5,791.5,799.5,199651,414346,795.5
2025-11-28,797.5,798.0,786.0,794.0,252881,390978,792.0
2025-12-01,793.0,803.5,789.0,801.0,239231,376674,796.5
2025-12-02,801.0,804.5,798.0,800.5,143855,358611,801.0
2025-12-03,801.5,803.5,794.0,799.5,169490,334841,799.5
2025-12-04,777.5,779.0,771.0,777.0,150017,385778,775.0
2025-12-05,776.0,779.0,766.0,769.0,160776,408723,771.5
2025-12-08,767.5,768.0,760.0,760.5,206640,429369,763.0
2025-12-09,759.0,760.0,750.0,757.5,239637,441754,755.0
2025-12-10,758.5,776.5,756.5,769.0,379803,469434,767.0
2025-12-11,769.0,771.0,754.5,757.0,324951,468056,763.0
2025-12-12,757.0,764.5,756.0,760.5,243565,465488,760.0
2025-12-15,752.5,760.5,748.0,753.0,367137,469396,753.0
2025-12-16,755.0,764.0,752.0,761.0,239609,479572,758.5
2025-12-17,760.0,769.5,759.0,768.0,229787,488996,765.0
2025-12-18,768.0,781.5,767.0,777.5,322377,518155,776.0
2025-12-19,777.0,780.5,774.5,780.0,187722,534905,777.0
2025-12-22,780.0,785.0,776.0,781.5,264601,551953,780.5
2025-12-23,779.5,783.5,772.5,778.5,216445,554034,777.5
2025-12-24,778.0,780.0,770.0,779.5,216277,553717,774.0
2025-12-25,779.0,781.5,774.5,778.5,145809,567104,777.5
2025-12-26,778.0,784.5,772.0,783.0,291118,580731,776.5
2025-12-29,783.0,803.0,782.0,796.5,461928,629681,792.5
2025-12-30,794.5,800.0,786.5,789.0,297023,613601,794.0
2025-12-31,789.5,795.5,784.5,789.5,245856,593347,789.5
2026-01-05,791.5,799.0,791.0,797.0,195492,618775,795.5
2026-01-06,797.0,806.0,787.0,801.0,307478,640868,795.5
2026-01-07,801.0,828.5,801.0,828.0,490615,666581,816.0
2026-01-08,828.0,831.5,808.0,813.0,442605,636674,820.5
2026-01-09,815.0,819.0,809.5,814.5,270327,639884,815.0
2026-01-12,818.0,826.0,817.0,822.5,272044,654834,821.5
2026-01-13,822.0,828.0,814.0,819.5,311621,653307,820.5
2026-01-14,820.0,825.5,817.0,821.0,238116,662688,821.5
2026-01-15,820.0,821.5,812.0,813.0,252986,652402,816.0
2026-01-16,813.0,821.5,809.5,812.0,256282,648862,815.0
2026-01-19,810.0,811.5,788.5,794.0,396301,616341,797.5
2026-01-20,798.0,798.0,778.0,789.5,362607,586507,786.5
2026-01-21,789.5,791.5,782.5,784.0,225102,575249,786.0
2026-01-22,785.0,790.5,782.0,786.5,197149,566469,785.5
2026-01-23,787.0,798.0,786.0,795.0,228677,568811,792.0
2026-01-26,796.0,801.5,784.0,784.5,261690,568175,792.0
2026-01-27,786.5,794.0,784.5,788.0,211744,571053,788.5
2026-01-28,788.0,789.5,780.5,783.0,217818,564613,784.5
2026-01-29,783.0,800.0,781.0,798.5,307714,555392,791.0
2026-01-30,799.5,801.0,786.0,791.5,278296,541228,793.0
2026-02-02,788.5,793.5,781.0,783.0,304564,520684,786.5
2026-02-03,787.0,797.0,774.5,777.5,357056,518849,784.0
2026-02-04,781.0,786.0,778.0,781.5,240530,515657,782.0
2026-02-05,779.5,779.5,764.0,768.5,331736,525113,770.0
2026-02-06,769.0,772.0,760.0,760.5,216259,514745,765.0
2026-02-09,760.0,765.0,757.5,761.5,169680,513384,761.5
2026-02-10,765.0,767.0,761.0,761.5,143284,513940,763.0
2026-02-11,760.0,767.5,758.5,762.5,133786,506957,763.5
2026-02-12,764.0,767.0,761.5,762.0,112867,497918,764.0
2026-02-13,760.5,764.5,745.5,746.0,239453,494550,754.0
2026-02-24,743.0,748.5,736.0,740.5,220287,519204,742.0
2026-02-25,741.5,757.0,739.5,752.5,276695,528498,748.5
2026-02-26,755.0,755.0,743.5,748.5,190394,540573,748.5
2026-02-27,748.0,751.5,745.5,750.5,175649,546682,748.0
2026-03-02,750.0,755.0,742.5,754.5,266635,542727,748.5
2026-03-03,751.5,754.0,743.0,753.5,239558,532861,749.0
2026-03-04,753.0,753.0,745.0,752.0,230305,525573,749.5
2026-03-05,752.5,771.0,750.5,759.0,435406,498769,761.5
